season,team,fo_agl
2014,DEN,36.9
2014,NYJ,41.5
2014,GB,41.9
2014,PIT,42.8
2014,PHI,48.6
2014,CAR,51.4
2014,BAL,52.6
2014,MIN,56.1
2014,NO,58
2014,BUF,59
2014,HOU,59.9
2014,NE,62
2014,LA,64.1
2014,CLE,67
2014,DET,67.6
2014,CIN,71.7
2014,ARI,72.8
2014,SEA,74.8
2014,DAL,76.1
2014,JAX,77.8
2014,MIA,79.5
2014,TEN,79.7
2014,TB,87.2
2014,WAS,89.5
2014,ATL,93.8
2014,KC,98.8
2014,CHI,101.6
2014,SF,101.8
2014,LV,103.6
2014,IND,104.7
2014,LAC,119.1
2014,NYG,137.1
2015,CIN,28.2
2015,ATL,28.8
2015,SEA,40.1
2015,CAR,50.9
2015,DAL,51.7
2015,PHI,52
2015,KC,54.9
2015,NO,56.1
2015,GB,56.2
2015,DEN,56.7
2015,LV,57.6
2015,MIN,59
2015,NYJ,61.6
2015,ARI,62.5
2015,MIA,63.4
2015,HOU,64.8
2015,IND,65.1
2015,TEN,65.2
2015,PIT,67.1
2015,JAX,68.9
2015,CLE,70.7
2015,TB,75
2015,DET,76.7
2015,LA,80.3
2015,BUF,80.5
2015,SF,83.9
2015,LAC,88.5
2015,CHI,92.8
2015,NE,93.3
2015,BAL,96.1
2015,WAS,119.1
2015,NYG,138.7
2016,LA,29
2016,TEN,32
2016,CIN,35.1
2016,PHI,38.4
2016,SEA,41.1
2016,ATL,52.2
2016,NYG,52.4
2016,NE,54.5
2016,CAR,56.5
2016,DEN,60.2
2016,BAL,60.3
2016,PIT,61.8
2016,OAK,65
2016,DET,69.5
2016,GB,70.5
2016,DAL,70.6
2016,JAX,72.5
2016,TB,77.5
2016,ARI,77.8
2016,IND,78.4
2016,NO,81.3
2016,HOU,91.7
2016,CLE,96.4
2016,SF,97.5
2016,BUF,97.8
2016,MIA,99.1
2016,KC,99.3
2016,WAS,101.5
2016,NYJ,110.5
2016,MIN,120.6
2016,LAC,127.8
2016,CHI,155.1
2017,LA,15.6
2017,ATL,16.3
2017,TEN,27.6
2017,PIT,30.5
2017,DAL,37.2
2017,JAX,38.3
2017,CAR,42.9
2017,LV,44.2
2017,BUF,44.5
2017,NYJ,47.4
2017,MIN,47.7
2017,CLE,52.7
2017,PHI,53.5
2017,NE,61.3
2017,DEN,65.9
2017,LAC,67.6
2017,DET,72.7
2017,TB,78.6
2017,KC,80
2017,CIN,80.8
2017,GB,84.8
2017,SEA,88.2
2017,SF,91.6
2017,NO,95.9
2017,NYG,96.3
2017,IND,101.2
2017,BAL,101.6
2017,ARI,105.6
2017,HOU,107.3
2017,MIA,115.5
2017,CHI,118.1
2017,WAS,121
2018,BAL,29.7
2018,BUF,33.8
2018,CHI,36.6
2018,LA,39.6
2018,PIT,40.4
2018,NO,50.7
2018,CLE,51.1
2018,NYG,53.3
2018,KC,60.8
2018,SEA,65.7
2018,TEN,68.7
2018,MIN,73.9
2018,NYJ,74.6
2018,DEN,76.2
2018,DET,76.8
2018,ATL,77.9
2018,DAL,78.5
2018,NE,78.6
2018,LV,81.7
2018,HOU,89.6
2018,GB,92.7
2018,MIA,95.3
2018,ARI,95.6
2018,WAS,99.3
2018,LAC,100
2018,CAR,103.8
2018,JAX,104.6
2018,CIN,104.9
2018,SF,105.5
2018,TB,109.3
2018,IND,116.5
2018,PHI,118.5
2019,MIN,25.6
2019,TB,39.5
2019,TEN,43.6
2019,DAL,51.8
2019,ATL,53.2
2019,SEA,56.5
2019,CLE,56.8
2019,NO,58.3
2019,PIT,60.5
2019,LA,60.6
2019,BUF,64.6
2019,IND,65.3
2019,CHI,65.4
2019,GB,65.6
2019,CAR,66.2
2019,BAL,68.7
2019,NYG,72.6
2019,KC,75.8
2019,HOU,78.2
2019,CIN,83.2
2019,PHI,84.4
2019,ARI,85
2019,NE,85
2019,DET,87.8
2019,DEN,89.2
2019,LV,93.4
2019,SF,95.8
2019,MIA,100
2019,JAX,100.2
2019,LAC,103
2019,WAS,131
2019,NYJ,160.1
2020,TB,30.6
2020,LA,45.6
2020,ATL,48
2020,NO,49.2
2020,PIT,55.2
2020,TEN,57.5
2020,HOU,58.2
2020,BAL,59.6
2020,BUF,63.1
2020,JAX,63.4
2020,KC,65.2
2020,MIA,65.7
2020,IND,72.9
2020,CAR,73.1
2020,GB,73.1
2020,MIN,83.5
2020,DET,83.7
2020,LV,86.9
2020,CHI,87.1
2020,SEA,88.3
2020,CIN,88.8
2020,CLE,89.7
2020,ARI,95.7
2020,WAS,97
2020,NYG,104.4
2020,DEN,108.4
2020,LAC,109.1
2020,DAL,118.5
2020,NYJ,123.9
2020,PHI,128.1
2020,NE,134.8
2020,SF,166.6
2021,KC,38.6
2021,BUF,42.8
2021,ATL,48.1
2021,MIA,50.9
2021,LA,54.3
2021,SEA,63.2
2021,CIN,63.2
2021,DAL,69.9
2021,LAC,70.2
2021,TEN,73.4
2021,NE,75.6
2021,PHI,76
2021,CHI,79.6
2021,GB,80.1
2021,CAR,80.8
2021,TB,81.3
2021,HOU,82.3
2021,CLE,85.9
2021,JAX,87.2
2021,PIT,89.8
2021,MIN,89.8
2021,ARI,92.3
2021,IND,96.5
2021,LV,101.6
2021,NO,107
2021,WAS,107.4
2021,NYG,109.2
2021,DEN,118.1
2021,SF,119.5
2021,DET,122.4
2021,NYJ,158.5
2021,BAL,191.2
