season,week,team,opponent,home_away,time_avg_lead
2014,1,ARI,LAC,home,-2.156111111111111
2014,2,ARI,NYG,away,5.3805555555555555
2014,3,ARI,SF,home,0.08277777777777778
2014,4,ARI,NA,NA,NA
2014,5,ARI,DEN,away,-6.056666666666667
2014,6,ARI,WAS,home,2.533611111111111
2014,7,ARI,LV,away,5.368055555555555
2014,8,ARI,PHI,home,0.095
2014,9,ARI,DAL,away,1.095
2014,10,ARI,LA,home,-0.9077777777777778
2014,11,ARI,DET,home,8.723055555555556
2014,12,ARI,SEA,away,-8.383611111111112
2014,13,ARI,ATL,away,-11.591111111111111
2014,14,ARI,KC,home,-1.6777777777777778
2014,15,ARI,LA,away,2.865
2014,16,ARI,SEA,home,-8.769444444444444
2014,17,ARI,SF,away,-0.4166666666666667
2014,1,ATL,NO,home,-4.389166666666667
2014,2,ATL,CIN,away,-8.517222222222221
2014,3,ATL,TB,home,33.02472222222222
2014,4,ATL,MIN,away,-5.545277777777778
2014,5,ATL,NYG,away,0.3638888888888889
2014,6,ATL,CHI,home,-4.4375
2014,7,ATL,BAL,away,-12.771666666666667
2014,8,ATL,DET,home,11.322777777777778
2014,9,ATL,NA,NA,NA
2014,10,ATL,TB,away,3.6030555555555557
2014,11,ATL,CAR,away,3.3830555555555555
2014,12,ATL,CLE,home,-1.9691666666666667
2014,13,ATL,ARI,home,11.591111111111111
2014,14,ATL,GB,away,-10.659166666666666
2014,15,ATL,PIT,home,-8.017222222222221
2014,16,ATL,NO,away,3.332222222222222
2014,17,ATL,CAR,home,-16.60527777777778
2014,1,BAL,CIN,home,-7.975833333333333
2014,2,BAL,PIT,home,8.017777777777777
2014,3,BAL,CLE,away,-0.6594444444444445
2014,4,BAL,CAR,home,11.944722222222222
2014,5,BAL,IND,away,-5.264444444444444
2014,6,BAL,TB,away,28.350833333333334
2014,7,BAL,ATL,home,12.771666666666667
2014,8,BAL,CIN,away,-4.348333333333334
2014,9,BAL,PIT,away,-5.7188888888888885
2014,10,BAL,TEN,home,2.957222222222222
2014,11,BAL,NA,NA,NA
2014,12,BAL,NO,away,3.9097222222222223
2014,13,BAL,LAC,home,5.8677777777777775
2014,14,BAL,MIA,away,-1.4808333333333332
2014,15,BAL,JAX,home,2.5172222222222222
2014,16,BAL,HOU,away,-9.195277777777777
2014,17,BAL,CLE,home,-0.016666666666666666
2014,1,BUF,CHI,away,2.1858333333333335
2014,2,BUF,MIA,home,8.699166666666667
2014,3,BUF,LAC,home,-9.120555555555555
2014,4,BUF,HOU,away,-1.373888888888889
2014,5,BUF,DET,away,-6.4625
2014,6,BUF,NE,home,-6.460555555555556
2014,7,BUF,MIN,home,-2.3830555555555555
2014,8,BUF,NYJ,away,12.706388888888888
2014,9,BUF,NA,NA,NA
2014,10,BUF,KC,home,4.006944444444445
2014,11,BUF,MIA,away,-1.6608333333333334
2014,12,BUF,NYJ,home,14.465277777777779
2014,13,BUF,CLE,home,3.352222222222222
2014,14,BUF,DEN,away,-9.984722222222222
2014,15,BUF,GB,home,2.276666666666667
2014,16,BUF,LV,away,-1.4105555555555556
2014,17,BUF,NE,away,8.06611111111111
2014,1,CAR,TB,away,6.588888888888889
2014,2,CAR,DET,home,3.8891666666666667
2014,3,CAR,PIT,home,-6.9719444444444445
