year,team,qb,qb_tier,qb_tier_avg,expected_starter
2021,ARI,K.Murray,2,2.44,TRUE
2021,ATL,M.Ryan,2,2.36,TRUE
2021,BAL,L.Jackson,2,2.08,TRUE
2021,BUF,J.Allen,2,1.6,TRUE
2021,CAR,S.Darnold,4,3.54,TRUE
2021,CHI,A.Dalton,4,3.84,TRUE
2021,CIN,J.Burrow,2,2.58,TRUE
2021,CLE,B.Mayfield,3,2.66,TRUE
2021,DAL,D.Prescott,2,2.14,TRUE
2021,DEN,T.Bridgewater,4,3.7,TRUE
2021,DEN,D.Lock,4,4.02,FALSE
2021,DET,J.Goff,3,2.94,TRUE
2021,GB,A.Rodgers,1,1,TRUE
2021,HOU,D.Watson,1,1.5,FALSE
2021,HOU,T.Taylor,4,4.08,TRUE
2021,IND,C.Wentz,3,2.94,TRUE
2021,JAX,T.Lawrence,,,TRUE
2021,KC,P.Mahomes,1,1,TRUE
2021,LA,M.Stafford,2,2.08,TRUE
2021,LAC,J.Herbert,2,2.14,TRUE
2021,LV,D.Carr,3,2.56,TRUE
2021,MIA,T.Tagovailoa,4,3.96,TRUE
2021,MIN,K.Cousins,3,2.86,TRUE
2021,NE,C.Newton,4,3.72,TRUE
2021,NO,J.Winston,4,3.64,TRUE
2021,NO,T.Hill,4,4.3,FALSE
2021,NYG,D.Jones,3,3.42,TRUE
2021,NYJ,Z.Wilson,,,TRUE
2021,PHI,J.Hurts,4,3.98,TRUE
2021,PHI,J.Flacco,4,4.34,FALSE
2021,PIT,B.Roethlisberger,3,2.64,TRUE
2021,SEA,R.Wilson,1,1.2,TRUE
2021,SF,J.Garoppolo,3,2.96,TRUE
2021,TB,T.Brady,1,1.18,TRUE
2021,TEN,R.Tannehill,2,2.46,TRUE
2021,WAS,R.Fitzpatrick,3,3.52,TRUE
2020,ARI,K.Murray,3,2.68,TRUE
2020,ATL,M.Ryan,2,2.08,TRUE
2020,BAL,L.Jackson,2,1.74,TRUE
2020,BUF,J.Allen,3,3.04,TRUE
2020,CAR,T.Bridgewater,3,3.14,TRUE
2020,CHI,N.Foles,3,3.42,TRUE
2020,CHI,M.Trubisky,4,3.96,FALSE
2020,CIN,J.Burrow,,,TRUE
2020,CLE,B.Mayfield,3,3,TRUE
2020,DAL,D.Prescott,2,2.22,TRUE
2020,DEN,D.Lock,4,3.84,TRUE
2020,DET,M.Stafford,2,2.04,TRUE
2020,GB,A.Rodgers,1,1.08,TRUE
2020,HOU,D.Watson,1,1.44,TRUE
2020,IND,P.Rivers,2,2.48,TRUE
2020,JAX,G.Minshew,4,3.84,TRUE
2020,KC,P.Mahomes,1,1,TRUE
2020,LA,J.Goff,3,2.74,TRUE
2020,LAC,T.Taylor,4,3.82,TRUE
2020,LV,D.Carr,3,2.98,TRUE
2020,LV,M.Mariota,4,3.66,FALSE
2020,MIA,R.Fitzpatrick,4,3.76,TRUE
2020,MIN,K.Cousins,3,2.7,TRUE
2020,NE,C.Newton,3,2.88,TRUE
2020,NE,J.Stidham,4,4.08,FALSE
2020,NO,D.Brees,1,1.34,TRUE
2020,NYG,D.Jones,3,3.38,TRUE
2020,NYJ,S.Darnold,3,3.18,TRUE
2020,PHI,C.Wentz,2,2.1,TRUE
2020,PIT,B.Roethlisberger,2,1.88,TRUE
2020,SEA,R.Wilson,1,1,TRUE
2020,SF,J.Garoppolo,3,2.78,TRUE
2020,TB,T.Brady,2,1.56,TRUE
2020,TEN,R.Tannehill,3,2.84,TRUE
2020,WAS,D.Haskins,4,4.02,TRUE
